Circuit: * C:\Users\Frank Walsh\Documents\GitHub\AUV-Senior-Design\Frank\chum-bucket\Sims\Battery Charger Buck\Draft1.asc

WARNING: Less than two connections to node NC_01.  This node is used by R:U2:GLR.
Model "u2:nfetls:pmosd": Oxide thickness thinner than recommended for a level 1 MOSFET.
Instance "m:u2:nfetls:2": Length shorter than recommended for a level 1 MOSFET.
Model "u2:nfeths:pmosd": Oxide thickness thinner than recommended for a level 1 MOSFET.
Instance "m:u2:nfeths:2": Length shorter than recommended for a level 1 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000218361 to 0.000218362
Heightened Def Con from 0.000219107 to 0.00021912
Heightened Def Con from 0.000220021 to 0.000220022
Heightened Def Con from 0.000220767 to 0.00022078
Heightened Def Con from 0.000221681 to 0.000221682
Heightened Def Con from 0.000222427 to 0.00022244
Heightened Def Con from 0.000223341 to 0.000223342
Heightened Def Con from 0.000224087 to 0.0002241
Heightened Def Con from 0.000225001 to 0.000225002
Heightened Def Con from 0.000225747 to 0.00022576
Heightened Def Con from 0.000226661 to 0.000226662
Heightened Def Con from 0.000227407 to 0.00022742
Heightened Def Con from 0.000228321 to 0.000228322
Heightened Def Con from 0.000229067 to 0.00022908
Heightened Def Con from 0.000229981 to 0.000229982
Heightened Def Con from 0.000230727 to 0.00023074
Heightened Def Con from 0.000231641 to 0.000231642
Heightened Def Con from 0.000231643 to 0.000231654
Heightened Def Con from 0.000232387 to 0.0002324
Heightened Def Con from 0.000233301 to 0.000233302
Heightened Def Con from 0.000234047 to 0.00023406
Heightened Def Con from 0.000234961 to 0.000234962
Heightened Def Con from 0.000235707 to 0.00023572
Heightened Def Con from 0.000236621 to 0.000236622
Heightened Def Con from 0.000236622 to 0.000236622

Date: Fri Oct 30 10:31:18 2020
Total elapsed time: 45.144 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 2729142
traniter = 2729105
tranpoints = 691027
accept = 508275
rejected = 183076
matrix size = 42
fillins = 28
solver = Normal
Matrix Compiler1: 4.64 KB object code size  1.4/1.2/[0.4]
Matrix Compiler2: off  [0.7]/1.1/1.7

